@relation arff/7test.arff

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute measure numeric
@attribute dynamics {n,2,3,4,5,6,7,8,9,s,0}
@attribute beats_since_dyn numeric
@attribute dyn_change {n,c,d}
@attribute articulation {l,.,<,-}
@attribute score_vib {0,1}
@attribute ornamt {n,g,t}
@attribute slur {0,1}
@attribute slur_start {0,1}
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric
@attribute perf_onset_s numeric
@attribute perf_dur_s numeric
@attribute local_tempo numeric
@attribute timing_dev numeric
@attribute piece_idx numeric

@data
1.500000,64,1.539912,1,3,0.000000,n,l,0,n,1,1,NaN,NaN,NaN,NaN,0.500000,66,0.513304,2,4,0,1,0,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0,0,1,0.0,0.0,0.0,0.0,0.0,10.0,0.000000,3,6,3.955033e+01,1.225000,1.346875,66.821346,0.000000,7
0.500000,66,0.513304,1,3,1.000000,n,l,0,n,1,0,1.500000,64,1.539912,2,0.500000,68,0.513304,2,6,2,0,1,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0,2,0,0.0,0.0,0.0,0.0,2.0,4.2,1.500000,0,6,5.973623e+01,2.577083,0.430208,69.733656,0.002865,7
0.500000,68,0.513304,2,3,2.000000,n,l,0,n,1,0,0.500000,66,0.513304,2,1.500000,71,1.539912,3,8,4,1,0,1.000000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0,4,1,0.0,0.0,1.0,0.0,2.0,4.2,0.000000,3,6,7.707928e+01,3.023958,0.482292,62.203024,-0.218229,7
1.500000,71,1.539912,2,3,2.000000,n,l,0,n,1,0,0.500000,68,0.513304,3,1.000000,73,1.026608,2,11,7,1,1,1.000000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0,7,1,0.0,0.0,1.0,0.0,3.0,6.0,0.500000,0,6,5.816275e+01,3.512500,1.548958,58.103564,-0.070312,7
1.000000,73,1.026608,3,3,4.000000,n,l,0,n,1,1,1.500000,71,1.539912,2,0.333333,76,0.342203,3,1,9,1,0,0.250000,0.500000,0.250000,0.750000,0.250000,0.750000,0.250000,3,4,1,0.0,0.0,1.0,0.0,2.0,4.2,0.000000,3,0,4.511864e+01,5.259375,0.853125,70.329670,0.188021,7
0.333333,76,0.342203,3,3,5.000000,n,l,0,n,1,0,1.000000,73,1.026608,3,0.333333,75,0.342203,-1,4,0,1,0,0.250000,0.500000,0.250000,0.750000,0.250000,0.750000,0.250000,3,7,1,0.0,0.0,1.0,0.0,3.0,6.0,1.000000,1,0,4.584621e+01,6.123958,0.267708,74.708171,-0.008854,7
0.333333,75,0.342203,3,3,5.000000,n,l,0,n,1,0,0.333333,76,0.342203,-1,0.333333,73,0.342203,-2,3,11,0,1,0.250000,0.500000,0.250000,0.750000,0.250000,0.750000,0.250000,3,6,0,0.0,1.5,1.0,1.0,1.0,1.0,1.333333,0,0,8.375151e+01,6.437500,0.191667,104.347826,0.013542,7
0.333333,73,0.342203,3,3,5.000000,n,l,0,n,1,0,0.333333,75,0.342203,-2,0.500000,76,0.513304,3,1,9,1,0,0.250000,0.500000,0.250000,0.750000,0.250000,0.750000,0.250000,3,4,1,0.0,0.0,1.0,0.0,2.0,4.2,1.666667,0,0,7.460414e+01,6.676042,0.325000,61.538462,-0.039062,7
0.500000,76,0.513304,4,3,5.000000,n,l,0,n,1,0,0.333333,73,0.342203,3,1.500000,71,1.539912,-5,4,0,1,0,1.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0,0,1,0.0,1.5,1.0,1.0,3.0,6.0,2.000000,0,0,4.973302e+01,7.006250,0.435417,68.899522,-0.111458,7
1.500000,71,1.539912,4,3,6.000000,n,l,0,n,1,0,0.500000,76,0.513304,-5,1.500000,64,1.539912,-7,11,7,1,1,1.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0,7,1,0.0,1.5,1.0,1.0,5.0,8.0,0.500000,0,0,4.603953e+01,7.459375,1.613542,55.777921,-0.080990,7
1.500000,64,1.539912,5,3,7.000000,c,l,0,n,1,1,1.500000,71,1.539912,-7,0.500000,66,0.513304,2,4,0,1,0,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0,0,1,0.0,0.0,1.0,0.0,7.0,9.2,2.000000,0,0,4.515070e+01,9.142708,1.300000,69.230769,0.209115,7
0.500000,66,0.513304,5,3,9.000000,c,l,0,n,1,0,1.500000,64,1.539912,2,0.500000,68,0.513304,2,6,2,0,1,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0,2,0,0.0,0.0,0.0,2.0,2.0,4.2,1.500000,0,0,5.383436e+01,10.448958,0.423958,70.761671,0.004688,7
0.500000,68,0.513304,6,3,10.000000,n,l,0,n,1,1,0.500000,66,0.513304,2,0.500000,69,0.513304,1,8,4,1,0,0.750000,0.250000,0.500000,0.500000,0.250000,0.500000,0.250000,0,4,1,0.0,0.0,1.0,0.0,2.0,4.2,0.000000,3,0,6.314908e+01,10.878125,0.337500,88.888889,0.059375,7
0.500000,69,0.513304,6,3,10.000000,n,l,0,n,1,0,0.500000,68,0.513304,1,0.500000,71,0.513304,2,9,5,0,0,0.750000,0.250000,0.500000,0.500000,0.250000,0.500000,0.250000,0,5,0,0.0,0.0,1.0,0.0,1.0,1.0,0.500000,0,0,6.392377e+01,11.215625,0.406250,73.846154,-0.090625,7
0.500000,71,0.513304,6,3,11.000000,n,l,0,n,1,0,0.500000,69,0.513304,2,0.500000,76,0.513304,5,11,7,1,1,0.750000,0.250000,0.500000,0.500000,0.250000,0.500000,0.250000,0,7,1,0.0,0.0,1.0,0.0,2.0,4.2,1.000000,1,0,7.067346e+01,11.627083,0.378125,79.338843,-0.107292,7
0.500000,76,0.513304,6,3,11.000000,n,l,0,n,1,0,0.500000,71,0.513304,5,1.000000,80,1.026608,4,4,0,1,0,0.750000,0.250000,0.500000,0.500000,0.250000,0.500000,0.250000,0,0,1,0.0,0.0,1.0,0.0,5.0,8.0,1.500000,0,0,8.829900e+01,12.033333,0.534375,56.140351,-0.129167,7
1.000000,80,1.026608,7,3,12.000000,n,l,0,n,1,1,0.500000,76,0.513304,4,0.750000,78,0.769956,-2,8,4,1,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,1,2,0,0.0,0.0,1.0,0.0,4.0,7.2,0.000000,3,0,5.790842e+01,12.590625,0.807292,74.322581,-0.298090,7
0.750000,78,0.769956,7,3,13.000000,n,l,0,n,1,0,1.000000,80,1.026608,-2,0.250000,73,0.256652,-5,6,2,0,1,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,1,0,1,0.0,1.5,1.0,1.0,2.0,4.2,1.000000,1,0,7.243649e+01,13.404167,0.684375,65.753425,-0.158854,7
0.250000,73,0.256652,7,3,13.000000,n,l,0,n,1,0,0.750000,78,0.769956,-5,2.000000,76,2.053216,3,1,9,1,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,1,7,1,0.0,0.0,1.0,0.0,5.0,8.0,1.750000,0,0,8.964277e+01,14.111458,0.418750,35.820896,-0.180859,7
2.000000,76,2.053216,8,3,14.000000,d,l,0,n,0,0,0.250000,73,0.256652,3,1.500000,80,1.539912,4,4,0,1,0,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,0,1,0.0,1.5,1.0,1.0,3.0,6.0,0.000000,3,0,4.521514e+01,14.535417,2.792708,42.969041,-0.433854,7
1.500000,80,1.539912,9,3,0.000000,n,l,0,n,1,1,2.000000,76,2.053216,4,0.500000,78,0.513304,-2,8,4,1,0,0.500000,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0,4,1,0.0,0.0,1.0,0.0,4.0,7.2,0.000000,3,0,1.609913e+01,17.362500,1.225000,73.469388,0.609635,7
0.500000,78,0.513304,9,3,1.000000,n,l,0,n,1,0,1.500000,80,1.539912,-2,1.000000,76,1.026608,-2,6,2,0,1,0.500000,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0,2,0,0.0,1.5,1.0,1.0,2.0,4.2,1.500000,0,0,2.899413e+01,18.593750,0.446875,67.132867,-0.031250,7
1.000000,76,1.026608,10,3,2.000000,n,l,0,n,1,0,0.500000,78,0.513304,-2,0.500000,75,0.513304,-1,4,0,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,7,1,0.0,0.0,1.0,0.0,2.0,4.2,0.000000,3,0,2.839226e+01,19.045833,0.789583,75.989446,0.126215,7
0.500000,75,0.513304,10,3,3.000000,n,l,0,n,1,0,1.000000,76,1.026608,-1,0.500000,73,0.513304,-2,3,11,0,1,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,6,0,0.0,0.0,1.0,0.0,1.0,1.0,1.000000,1,0,4.581252e+01,19.841667,0.440625,68.085106,-0.101042,7
0.500000,73,0.513304,10,3,3.000000,n,l,0,n,1,0,0.500000,75,0.513304,-2,1.000000,68,1.026608,-5,1,9,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,4,1,0.0,0.0,1.0,0.0,2.0,4.2,1.500000,0,0,3.154030e+01,20.288542,0.510417,58.775510,-0.102604,7
1.000000,68,1.026608,11,3,4.000000,n,l,0,n,1,1,0.500000,73,0.513304,-5,1.500000,71,1.539912,3,8,4,1,0,1.000000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0,4,1,0.0,0.0,1.0,0.0,5.0,8.0,0.000000,3,0,4.751175e+01,20.839583,1.004167,59.751037,-0.188090,7
1.500000,71,1.539912,11,3,5.000000,n,l,0,n,1,0,1.000000,68,1.026608,3,1.500000,80,1.539912,9,11,7,1,1,1.000000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0,7,1,0.0,1.5,1.0,1.0,3.0,6.0,1.000000,1,0,3.645733e+01,21.850000,1.985417,45.330535,-0.005469,7
1.500000,80,1.539912,13,3,8.000000,c,l,0,n,1,1,1.500000,71,1.539912,9,0.500000,78,0.513304,-2,8,4,1,0,0.500000,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0,4,1,0.0,0.0,0.0,0.0,9.0,7.8,0.000000,3,0,3.700523e+01,24.903125,1.231250,73.096447,0.193359,7
0.500000,78,0.513304,13,3,9.000000,c,l,0,n,1,0,1.500000,80,1.539912,-2,1.000000,76,1.026608,-2,6,2,0,1,0.500000,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0,2,0,1.0,0.0,1.0,2.0,2.0,4.2,1.500000,0,0,6.221438e+01,26.139583,0.453125,66.206897,-0.035417,7
1.000000,76,1.026608,14,3,10.000000,c,l,0,n,1,0,0.500000,78,0.513304,-2,0.500000,75,0.513304,-1,4,0,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,7,1,0.0,0.0,1.0,0.0,2.0,4.2,0.000000,3,0,5.073103e+01,26.598958,0.841667,71.287129,-0.093099,7
0.500000,75,0.513304,14,3,11.000000,c,l,0,n,1,0,1.000000,76,1.026608,-1,0.500000,73,0.513304,-2,3,11,0,1,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,6,0,0.0,0.0,1.0,0.0,1.0,1.0,1.000000,1,0,8.318744e+01,27.445833,0.487500,61.538462,-0.142708,7
