@relation arff/2test.arff

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute measure numeric
@attribute dynamics {n,2,3,4,5,6,7,8,9,s,0}
@attribute beats_since_dyn numeric
@attribute dyn_change {n,c,d}
@attribute articulation {l,.,<,-}
@attribute score_vib {0,1}
@attribute ornamt {n,g,t}
@attribute slur {0,1}
@attribute slur_start {0,1}
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric
@attribute perf_onset_s numeric
@attribute perf_dur_s numeric
@attribute local_tempo numeric
@attribute timing_dev numeric
@attribute piece_idx numeric

@data
3.000000,62,2.877415,1,4,0.000000,n,l,0,n,1,1,NaN,NaN,NaN,NaN,1.000000,59,0.959138,-3,2,7,1,1,1.000000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0,7,1,0.0,0.0,0.0,0.0,0.0,10.0,0.000000,3,3,6.903205e+01,0.731250,2.635417,68.300395,0.000000,2
1.000000,59,0.959138,1,4,3.000000,n,-,0,n,1,0,3.000000,62,2.877415,-3,2.000000,55,1.918277,-4,11,4,1,0,1.000000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0,4,1,0.0,0.0,0.0,0.0,3.0,6.0,3.000000,1,3,6.832601e+01,3.402083,1.050000,57.142857,-0.137760,2
2.000000,55,1.918277,2,4,4.000000,n,l,0,n,0,0,1.000000,59,0.959138,-4,2.000000,57,1.918277,2,7,0,1,0,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0,0,1,0.0,0.0,1.0,0.0,4.0,7.2,0.000000,3,3,4.903527e+01,4.476042,1.700000,70.588235,0.107812,2
2.000000,57,1.918277,2,4,6.000000,n,l,0,n,0,0,2.000000,55,1.918277,2,2.500000,59,2.397846,2,9,2,0,1,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0,2,0,0.0,1.5,1.0,1.0,2.0,4.2,2.000000,2,3,7.328491e+01,6.193750,1.701042,70.545009,-0.046875,2
2.500000,59,2.397846,3,4,8.000000,n,l,0,n,1,1,2.000000,57,1.918277,2,0.500000,60,0.479569,1,11,4,1,0,0.500000,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0,4,1,0.0,0.0,1.0,0.0,2.0,4.2,0.000000,3,3,5.527618e+01,8.005208,1.868750,80.267559,-0.001302,2
0.500000,60,0.479569,3,4,10.000000,c,l,0,n,1,0,2.500000,59,2.397846,1,0.500000,59,0.479569,-1,0,5,0,0,0.500000,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0,5,0,0.0,0.0,1.0,0.0,1.0,1.0,2.500000,0,3,9.080622e+01,9.873958,0.459375,65.306122,-0.224349,2
0.500000,59,0.479569,3,4,11.000000,c,-,0,n,0,0,0.500000,60,0.479569,-1,0.500000,57,0.479569,-2,11,4,1,0,0.500000,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0,4,1,0.0,1.5,1.0,1.0,1.0,1.0,3.000000,1,3,8.156597e+01,10.344792,0.411458,72.911392,-0.172135,2
0.500000,57,0.479569,3,4,11.000000,c,-,0,n,0,0,0.500000,59,0.479569,-2,2.000000,62,1.918277,5,9,2,0,1,0.500000,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0,2,0,0.0,0.0,1.0,0.0,2.0,4.2,3.500000,0,3,7.585663e+01,10.762500,0.476042,63.019694,-0.173047,2
2.000000,62,1.918277,4,4,12.000000,d,l,0,n,0,0,0.500000,57,0.479569,5,2.000000,55,1.918277,-7,2,7,1,1,1.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0,7,1,0.0,0.0,0.0,1.0,5.0,8.0,0.000000,3,3,8.114430e+01,11.354167,1.648958,72.773215,-0.401042,2
2.000000,55,1.918277,4,4,14.000000,d,l,0,n,0,0,2.000000,62,1.918277,-7,2.000000,67,1.918277,12,7,0,1,0,1.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0,0,1,0.0,1.5,1.0,1.0,7.0,9.2,2.000000,2,3,4.342097e+01,13.043750,2.339583,51.291184,-0.365625,2
