@relation 'arff/1test.arff-weka.filters.unsupervised.attribute.Remove-R4-12,45-49'

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric

@data
1,79,0.933807,?,?,?,?,1,79,0.933807,0,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,0,3,9,36.84814
1,79,0.933807,1,79,0.933807,0,0.5,79,0.466903,0,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,1,1,9,46.76782
0.5,79,0.466903,1,79,0.933807,0,0.5,78,0.466903,-1,7,0,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,7,1,0,1.5,1,0,0,10,0,3,9,49.65014
0.5,78,0.466903,0.5,79,0.466903,-1,0.5,76,0.466903,-2,6,11,0,1,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,6,0,0,1.5,1,1,1,1,0.5,0,9,61.79818
0.5,76,0.466903,0.5,78,0.466903,-2,0.25,78,0.233452,2,4,9,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,4,1,0,0,1,0,2,4.2,1,1,9,82.33091
0.25,78,0.233452,0.5,76,0.466903,2,0.25,79,0.233452,1,6,11,0,1,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,6,0,0,1.5,1,1,2,4.2,1.5,0,9,60.38846
0.25,79,0.233452,0.25,78,0.233452,1,0.5,74,0.466903,-5,7,0,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,7,1,0,0,1,0,1,1,1.75,0,0,49.99777
0.5,74,0.466903,0.25,79,0.233452,-5,0.5,72,0.466903,-2,2,7,1,1,0.333333,0.666667,0.333333,0.333333,0.666667,0,0.666667,1,5,0,0,0,0,1,5,8,0,3,0,65.82668
0.5,72,0.466903,0.5,74,0.466903,-2,3,69,2.80142,-3,0,5,0,0,0.333333,0.666667,0.333333,0.333333,0.666667,0,0.666667,1,3,1,0,0,1,0,2,4.2,0.5,0,0,53.04313
3,69,2.80142,0.5,72,0.466903,-3,1,83,0.933807,14,9,2,0,1,0.333333,0.666667,0.333333,0.333333,0.666667,0,0.666667,1,0,1,0,0,1,0,3,6,1,1,0,51.23253
1,83,0.933807,3,69,2.80142,14,1,83,0.933807,0,11,4,1,0,1,0,1,0,0,1,0,0,4,1,0,0,0,1,14,4.2,0,3,0,54.33847
1,83,0.933807,1,83,0.933807,0,0.5,83,0.466903,0,11,4,1,0,1,0,1,0,0,1,0,0,4,1,1,0,1,2,0,10,1,1,0,92.962
0.5,83,0.466903,1,83,0.933807,0,0.5,81,0.466903,-2,11,4,1,0,0.6,0.4,0.4,0.2,0.4,0.6,0.4,0,4,1,0,1.5,1,0,0,10,0,3,0,89.07273
0.5,81,0.466903,0.5,83,0.466903,-2,0.5,79,0.466903,-2,9,2,0,1,0.6,0.4,0.4,0.2,0.4,0.6,0.4,0,2,0,0,1.5,1,1,2,4.2,0.5,0,0,64.74867
0.5,79,0.466903,0.5,81,0.466903,-2,0.25,81,0.233452,2,7,0,1,0,0.6,0.4,0.4,0.2,0.4,0.6,0.4,0,0,1,0,0,1,0,2,4.2,1,1,0,76.17987
0.25,81,0.233452,0.5,79,0.466903,2,0.25,83,0.233452,2,9,2,0,1,0.6,0.4,0.4,0.2,0.4,0.6,0.4,0,2,0,0,1.5,1,1,2,4.2,1.5,0,0,90.406
0.25,83,0.233452,0.25,81,0.233452,2,0.5,79,0.466903,-4,11,4,1,0,0.6,0.4,0.4,0.2,0.4,0.6,0.4,0,4,1,0,0,1,0,2,4.2,1.75,0,0,96.27133
0.5,79,0.466903,0.25,83,0.233452,-4,0.5,78,0.466903,-1,7,0,1,0,0.666667,0,0.666667,0.333333,0.666667,0.333333,0.333333,0,0,1,0,1.5,1,1,4,7.2,0,3,0,73.96792
0.5,78,0.466903,0.5,79,0.466903,-1,3,74,2.80142,-4,6,11,0,1,0.666667,0,0.666667,0.333333,0.666667,0.333333,0.333333,0,11,0,0,0,1,0,1,1,0.5,0,0,69.24889
3,74,2.80142,0.5,78,0.466903,-4,0.25,76,0.233452,2,2,7,1,1,0.666667,0,0.666667,0.333333,0.666667,0.333333,0.333333,0,7,1,0,0,1,0,4,7.2,1,1,0,39.46539
0.25,76,0.233452,3,74,2.80142,2,0.25,78,0.233452,2,4,9,1,0,0.2,0.4,0.4,0.6,0.4,0.6,0.4,3,4,1,0,1.5,1,1,2,4.2,0.5,0,0,10
0.25,78,0.233452,0.25,76,0.233452,2,0.5,79,0.466903,1,6,11,0,1,0.2,0.4,0.4,0.6,0.4,0.6,0.4,3,6,0,0,0,1,0,2,4.2,0.75,0,0,15.08586
0.5,79,0.466903,0.25,78,0.233452,1,0.25,78,0.233452,-1,7,0,1,0,0.2,0.4,0.4,0.6,0.4,0.6,0.4,3,7,1,0,0,1,0,1,1,1,1,0,41.82318
0.25,78,0.233452,0.5,79,0.466903,-1,0.25,76,0.233452,-2,6,11,0,1,0.2,0.4,0.4,0.6,0.4,0.6,0.4,3,6,0,0,1.5,1,1,1,1,1.5,0,0,45.3576
0.25,76,0.233452,0.25,78,0.233452,-2,1,81,0.933807,5,4,9,1,0,0.2,0.4,0.4,0.6,0.4,0.6,0.4,3,4,1,0,0,1,0,2,4.2,1.75,0,0,74.09488
1,81,0.933807,0.25,76,0.233452,5,1.5,76,1.40071,-5,9,2,0,1,0,1,0,0.5,0.5,0.5,0.5,1,0,1,0,0,0,1,5,8,0,3,0,27.99362
1.5,76,1.40071,1,81,0.933807,-5,0.25,74,0.233452,-2,4,9,1,0,0,1,0,0.5,0.5,0.5,0.5,1,7,1,0,1.5,1,1,5,8,1,1,0,28.42238
0.25,74,0.233452,1.5,76,1.40071,-2,0.25,76,0.233452,2,2,7,1,1,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,3,1,0,0,1,0,2,4.2,0.5,0,0,53.50059
0.25,76,0.233452,0.25,74,0.233452,2,0.5,78,0.466903,2,4,9,1,0,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,5,0,0,1.5,1,1,2,4.2,0.75,0,0,35.2621
0.5,78,0.466903,0.25,76,0.233452,2,0.25,76,0.233452,-2,6,11,0,1,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,7,1,0,0,1,0,2,4.2,1,1,0,40.25215
0.25,76,0.233452,0.5,78,0.466903,-2,0.25,74,0.233452,-2,4,9,1,0,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,5,0,0,1.5,1,1,2,4.2,1.5,0,0,54.331
0.25,74,0.233452,0.25,76,0.233452,-2,1,79,0.933807,5,2,7,1,1,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,3,1,0,0,1,0,2,4.2,1.75,0,0,65.28442
1,79,0.933807,0.25,74,0.233452,5,1.5,74,1.40071,-5,7,0,1,0,1,0,0.5,0.5,0.5,0.5,0,0,0,1,0,0,0,1,5,8,0,3,0,36.86106
1.5,74,1.40071,1,79,0.933807,-5,0.25,72,0.233452,-2,2,7,1,1,1,0,0.5,0.5,0.5,0.5,0,0,7,1,0,1.5,1,1,5,8,1,1,0,34.39694
0.25,72,0.233452,1.5,74,1.40071,-2,0.25,74,0.233452,2,0,5,0,0,0.4,0.6,0.4,0.6,0.4,0.2,0.4,1,3,1,0,0,1,0,2,4.2,0.5,0,0,49.20917
0.25,74,0.233452,0.25,72,0.233452,2,0.5,76,0.466903,2,2,7,1,1,0.4,0.6,0.4,0.6,0.4,0.2,0.4,1,5,0,0,1.5,1,1,2,4.2,0.75,0,0,52.17835
0.5,76,0.466903,0.25,74,0.233452,2,0.25,74,0.233452,-2,4,9,1,0,0.4,0.6,0.4,0.6,0.4,0.2,0.4,1,7,1,0,0,1,0,2,4.2,1,1,0,58.0274
0.25,74,0.233452,0.5,76,0.466903,-2,0.25,72,0.233452,-2,2,7,1,1,0.4,0.6,0.4,0.6,0.4,0.2,0.4,1,5,0,0,1.5,1,1,2,4.2,1.5,0,0,67.23006
0.25,72,0.233452,0.25,74,0.233452,-2,1,78,0.933807,6,0,5,0,0,0.4,0.6,0.4,0.6,0.4,0.2,0.4,1,3,1,0,0,1,0,2,4.2,1.75,0,0,67.5784
1,78,0.933807,0.25,72,0.233452,6,1,72,0.933807,-6,6,11,0,1,0,0.5,0.5,0.5,0.5,0,1,6,0,1,0,0,0,1,6,5.8,0,3,0,43.24546
1,72,0.933807,1,78,0.933807,-6,1.5,71,1.40071,-1,0,5,0,0,0,0.5,0.5,0.5,0.5,0,1,6,6,1,0,1.5,0,1,6,5.8,1,1,0,42.35376
1.5,71,1.40071,1,72,0.933807,-1,0.5,72,0.466903,1,11,4,1,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,4,1,0,0,0,1,1,1,0,3,0,58.50745
0.5,72,0.466903,1.5,71,1.40071,1,2,71,1.867614,-1,0,5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,5,0,0,1.5,1,1,1,1,1.5,0,0,46.63861
2,71,1.867614,0.5,72,0.466903,-1,1,79,0.933807,8,11,4,1,0,1,0,1,0,0,1,0,0,4,1,0,1.5,1,1,1,1,0,3,0,43.02693
1,79,0.933807,2,71,1.867614,8,1,79,0.933807,0,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,8,6.3,0,3,0,27.74528
1,79,0.933807,1,79,0.933807,0,0.5,79,0.466903,0,7,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,2,0,10,1,1,0,42.83211
0.5,79,0.466903,1,79,0.933807,0,0.5,78,0.466903,-1,7,0,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,7,1,0,1.5,1,0,0,10,0,3,0,38.86761
0.5,78,0.466903,0.5,79,0.466903,-1,0.5,76,0.466903,-2,6,11,0,1,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,6,0,0,1.5,1,1,1,1,0.5,0,0,29.13612
0.5,76,0.466903,0.5,78,0.466903,-2,0.25,78,0.233452,2,4,9,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,4,1,0,0,1,0,2,4.2,1,1,0,33.18574
0.25,78,0.233452,0.5,76,0.466903,2,0.25,79,0.233452,1,6,11,0,1,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,6,0,0,1.5,1,1,2,4.2,1.5,0,0,43.10273
0.25,79,0.233452,0.25,78,0.233452,1,0.5,76,0.466903,-3,7,0,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,7,1,0,0,1,0,1,1,1.75,0,0,39.86298
0.5,76,0.466903,0.25,79,0.233452,-3,0.5,74,0.466903,-2,4,9,1,0,0.666667,0.333333,0.666667,0.333333,0.333333,0.666667,0,0,9,0,0,1.5,1,1,3,6,0,3,0,57.86843
0.5,74,0.466903,0.5,76,0.466903,-2,1.5,71,1.40071,-3,2,7,1,1,0.666667,0.333333,0.666667,0.333333,0.333333,0.666667,0,0,7,1,0,0,1,0,2,4.2,0.5,0,0,74.61264
1.5,71,1.40071,0.5,74,0.466903,-3,0.5,69,0.466903,-2,11,4,1,0,0.666667,0.333333,0.666667,0.333333,0.333333,0.666667,0,0,4,1,0,0,1,0,3,6,1,1,0,56.97661
0.5,69,0.466903,1.5,71,1.40071,-2,0.5,67,0.466903,-2,9,2,0,1,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0,2,0,0,0,1,0,2,4.2,0.5,0,0,74.6891
0.5,67,0.466903,0.5,69,0.466903,-2,0.25,69,0.233452,2,7,0,1,0,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0,0,1,0,0,1,0,2,4.2,1,1,0,58.65031
0.25,69,0.233452,0.5,67,0.466903,2,0.25,71,0.233452,2,9,2,0,1,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0,2,0,0,1.5,1,1,2,4.2,1.5,0,0,102.3867
0.25,71,0.233452,0.25,69,0.233452,2,0.5,69,0.466903,-2,11,4,1,0,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0,4,1,0,0,1,0,2,4.2,1.75,0,0,83.91759
0.5,69,0.466903,0.25,71,0.233452,-2,0.5,67,0.466903,-2,9,2,0,1,0.333333,0.666667,0,0.666667,0.333333,0.666667,0.333333,1,0,1,0,1.5,1,1,2,4.2,0,3,0,91.02454
0.5,67,0.466903,0.5,69,0.466903,-2,1.5,64,1.40071,-3,7,0,1,0,0.333333,0.666667,0,0.666667,0.333333,0.666667,0.333333,1,10,0,0,0,1,0,2,4.2,0.5,0,0,63.9062
1.5,64,1.40071,0.5,67,0.466903,-3,0.25,62,0.233452,-2,4,9,1,0,0.333333,0.666667,0,0.666667,0.333333,0.666667,0.333333,1,7,1,0,0,1,0,3,6,1,1,0,41.61047
0.25,62,0.233452,1.5,64,1.40071,-2,0.25,64,0.233452,2,2,7,1,1,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,3,1,0,0,1,0,2,4.2,0.5,0,0,55.36704
0.25,64,0.233452,0.25,62,0.233452,2,0.5,66,0.466903,2,4,9,1,0,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,5,0,0,1.5,1,1,2,4.2,0.75,0,0,42.86927
0.5,66,0.466903,0.25,64,0.233452,2,0.25,64,0.233452,-2,6,11,0,1,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,7,1,0,0,1,0,2,4.2,1,1,0,32.14605
0.25,64,0.233452,0.5,66,0.466903,-2,0.25,62,0.233452,-2,4,9,1,0,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,5,0,0,1.5,1,1,2,4.2,1.5,0,0,26.25907
0.25,62,0.233452,0.25,64,0.233452,-2,3.5,67,3.268324,5,2,7,1,1,0.4,0.4,0.6,0.4,0.6,0.4,0.2,2,3,1,0,0,1,0,2,4.2,1.75,0,0,47.73741
3.5,67,3.268324,0.25,62,0.233452,5,1,79,0.933807,?,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,5,8,0,3,0,34.38352
