@relation arff/6test.arff

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute measure numeric
@attribute dynamics {n,2,3,4,5,6,7,8,9,s,0}
@attribute beats_since_dyn numeric
@attribute dyn_change {n,c,d}
@attribute articulation {l,.,<,-}
@attribute score_vib {0,1}
@attribute ornamt {n,g,t}
@attribute slur {0,1}
@attribute slur_start {0,1}
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric
@attribute perf_onset_s numeric
@attribute perf_dur_s numeric
@attribute local_tempo numeric
@attribute timing_dev numeric
@attribute piece_idx numeric

@data
0.750000,70,1.618666,1,3,0.000000,n,l,0,n,1,1,NaN,NaN,NaN,NaN,0.250000,72,0.539555,2,10,0,1,0,0.833333,0.166667,0.666667,0.166667,0.166667,0.833333,0.166667,0,0,1,0.0,0.0,0.0,0.0,0.0,10.0,0.000000,3,10,4.863028e+01,2.373958,1.707292,26.357535,0.000000,6
0.250000,72,0.539555,1,3,0.000000,n,l,0,n,1,0,0.750000,70,1.618666,2,0.250000,74,0.539555,2,0,2,0,1,0.833333,0.166667,0.666667,0.166667,0.166667,0.833333,0.166667,0,2,0,0.0,0.0,0.0,0.0,2.0,4.2,0.750000,0,10,3.219631e+01,4.086458,0.719792,20.839363,0.009766,6
0.250000,74,0.539555,1,3,1.000000,n,-,0,n,1,0,0.250000,72,0.539555,2,0.250000,74,0.539555,0,2,4,1,0,0.833333,0.166667,0.666667,0.166667,0.166667,0.833333,0.166667,0,4,1,0.0,0.0,1.0,0.0,2.0,4.2,1.000000,1,10,3.861554e+01,4.823958,0.571875,26.229508,0.179687,6
0.250000,74,0.539555,1,3,1.000000,n,-,0,n,1,0,0.250000,74,0.539555,0,0.250000,74,0.539555,0,2,4,1,0,0.833333,0.166667,0.666667,0.166667,0.166667,0.833333,0.166667,0,4,1,0.0,1.5,1.0,1.0,0.0,10.0,1.250000,0,10,4.451286e+01,5.395833,0.440625,34.042553,0.183984,6
0.250000,74,0.539555,1,3,1.000000,n,-,0,n,1,0,0.250000,74,0.539555,0,0.250000,74,0.539555,0,2,4,1,0,0.833333,0.166667,0.666667,0.166667,0.166667,0.833333,0.166667,0,4,1,0.0,1.5,1.0,0.0,0.0,10.0,1.500000,0,10,5.315214e+01,5.836458,0.425000,35.294118,0.057031,6
0.250000,74,0.539555,1,3,1.000000,n,-,0,n,1,0,0.250000,74,0.539555,0,0.750000,74,1.618666,0,2,4,1,0,0.833333,0.166667,0.666667,0.166667,0.166667,0.833333,0.166667,0,4,1,0.0,1.5,1.0,0.0,0.0,10.0,1.750000,0,10,6.384012e+01,6.261458,0.653125,22.966507,-0.085547,6
0.750000,74,1.618666,2,3,2.000000,n,l,0,n,1,1,0.250000,74,0.539555,0,0.250000,72,0.539555,-2,2,4,1,0,0.333333,0.666667,0.166667,0.666667,0.166667,0.833333,0.166667,5,7,1,0.0,1.5,1.0,0.0,0.0,10.0,0.000000,3,0,4.292874e+01,6.914583,1.722917,26.118501,-0.227604,6
0.250000,72,0.539555,2,3,2.000000,n,l,0,n,1,0,0.750000,74,1.618666,-2,0.250000,70,0.539555,-2,0,2,0,1,0.333333,0.666667,0.166667,0.666667,0.166667,0.833333,0.166667,5,5,0,0.0,1.5,1.0,1.0,2.0,4.2,0.750000,0,0,2.380800e+01,8.643750,0.864583,17.349398,-0.144271,6
0.250000,70,0.539555,2,3,3.000000,n,l,0,n,1,1,0.250000,72,0.539555,-2,0.250000,67,0.539555,-3,10,0,1,0,0.333333,0.666667,0.166667,0.666667,0.166667,0.833333,0.166667,5,3,1,0.0,0.0,1.0,0.0,2.0,4.2,1.000000,1,0,6.455960e+01,9.531250,0.685417,21.884498,0.118750,6
0.250000,67,0.539555,2,3,3.000000,n,l,0,n,0,0,0.250000,70,0.539555,-3,0.250000,67,0.539555,0,7,9,1,0,0.333333,0.666667,0.166667,0.666667,0.166667,0.833333,0.166667,5,0,1,0.0,0.0,1.0,0.0,3.0,6.0,1.250000,0,0,4.161476e+01,10.222917,0.503125,29.813665,0.185937,6
