@relation 'arff/7test.arff-weka.filters.unsupervised.attribute.Remove-R4-12,45-49'

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric

@data
1.5,64,1.539912,?,?,?,?,0.5,66,0.513304,2,4,0,1,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,0,0,0,0,0,10,0,3,6,39.55033
0.5,66,0.513304,1.5,64,1.539912,2,0.5,68,0.513304,2,6,2,0,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,2,0,0,0,0,0,2,4.2,1.5,0,6,59.73623
0.5,68,0.513304,0.5,66,0.513304,2,1.5,71,1.539912,3,8,4,1,0,1,0,1,0,0.5,0.5,0,0,4,1,0,0,1,0,2,4.2,0,3,6,77.07928
1.5,71,1.539912,0.5,68,0.513304,3,1,73,1.026608,2,11,7,1,1,1,0,1,0,0.5,0.5,0,0,7,1,0,0,1,0,3,6,0.5,0,6,58.16275
1,73,1.026608,1.5,71,1.539912,2,0.333333,76,0.342203,3,1,9,1,0,0.25,0.5,0.25,0.75,0.25,0.75,0.25,3,4,1,0,0,1,0,2,4.2,0,3,0,45.11864
0.333333,76,0.342203,1,73,1.026608,3,0.333333,75,0.342203,-1,4,0,1,0,0.25,0.5,0.25,0.75,0.25,0.75,0.25,3,7,1,0,0,1,0,3,6,1,1,0,45.84621
0.333333,75,0.342203,0.333333,76,0.342203,-1,0.333333,73,0.342203,-2,3,11,0,1,0.25,0.5,0.25,0.75,0.25,0.75,0.25,3,6,0,0,1.5,1,1,1,1,1.333333,0,0,83.75151
0.333333,73,0.342203,0.333333,75,0.342203,-2,0.5,76,0.513304,3,1,9,1,0,0.25,0.5,0.25,0.75,0.25,0.75,0.25,3,4,1,0,0,1,0,2,4.2,1.666667,0,0,74.60414
0.5,76,0.513304,0.333333,73,0.342203,3,1.5,71,1.539912,-5,4,0,1,0,1,0,0.5,0.5,0.5,0.5,0,0,0,1,0,1.5,1,1,3,6,2,0,0,49.73302
1.5,71,1.539912,0.5,76,0.513304,-5,1.5,64,1.539912,-7,11,7,1,1,1,0,0.5,0.5,0.5,0.5,0,0,7,1,0,1.5,1,1,5,8,0.5,0,0,46.03953
1.5,64,1.539912,1.5,71,1.539912,-7,0.5,66,0.513304,2,4,0,1,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,0,0,1,0,7,9.2,2,0,0,45.1507
0.5,66,0.513304,1.5,64,1.539912,2,0.5,68,0.513304,2,6,2,0,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,2,0,0,0,0,2,2,4.2,1.5,0,0,53.83436
0.5,68,0.513304,0.5,66,0.513304,2,0.5,69,0.513304,1,8,4,1,0,0.75,0.25,0.5,0.5,0.25,0.5,0.25,0,4,1,0,0,1,0,2,4.2,0,3,0,63.14908
0.5,69,0.513304,0.5,68,0.513304,1,0.5,71,0.513304,2,9,5,0,0,0.75,0.25,0.5,0.5,0.25,0.5,0.25,0,5,0,0,0,1,0,1,1,0.5,0,0,63.92377
0.5,71,0.513304,0.5,69,0.513304,2,0.5,76,0.513304,5,11,7,1,1,0.75,0.25,0.5,0.5,0.25,0.5,0.25,0,7,1,0,0,1,0,2,4.2,1,1,0,70.67346
0.5,76,0.513304,0.5,71,0.513304,5,1,80,1.026608,4,4,0,1,0,0.75,0.25,0.5,0.5,0.25,0.5,0.25,0,0,1,0,0,1,0,5,8,1.5,0,0,88.299
1,80,1.026608,0.5,76,0.513304,4,0.75,78,0.769956,-2,8,4,1,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,1,2,0,0,0,1,0,4,7.2,0,3,0,57.90842
0.75,78,0.769956,1,80,1.026608,-2,0.25,73,0.256652,-5,6,2,0,1,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,1,0,1,0,1.5,1,1,2,4.2,1,1,0,72.43649
0.25,73,0.256652,0.75,78,0.769956,-5,2,76,2.053216,3,1,9,1,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,1,7,1,0,0,1,0,5,8,1.75,0,0,89.64277
2,76,2.053216,0.25,73,0.256652,3,1.5,80,1.539912,4,4,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1.5,1,1,3,6,0,3,0,45.21514
1.5,80,1.539912,2,76,2.053216,4,0.5,78,0.513304,-2,8,4,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,4,1,0,0,1,0,4,7.2,0,3,0,16.09913
0.5,78,0.513304,1.5,80,1.539912,-2,1,76,1.026608,-2,6,2,0,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,2,0,0,1.5,1,1,2,4.2,1.5,0,0,28.99413
1,76,1.026608,0.5,78,0.513304,-2,0.5,75,0.513304,-1,4,0,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,7,1,0,0,1,0,2,4.2,0,3,0,28.39226
0.5,75,0.513304,1,76,1.026608,-1,0.5,73,0.513304,-2,3,11,0,1,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,6,0,0,0,1,0,1,1,1,1,0,45.81252
0.5,73,0.513304,0.5,75,0.513304,-2,1,68,1.026608,-5,1,9,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,4,1,0,0,1,0,2,4.2,1.5,0,0,31.5403
1,68,1.026608,0.5,73,0.513304,-5,1.5,71,1.539912,3,8,4,1,0,1,0,1,0,0.5,0.5,0,0,4,1,0,0,1,0,5,8,0,3,0,47.51175
1.5,71,1.539912,1,68,1.026608,3,1.5,80,1.539912,9,11,7,1,1,1,0,1,0,0.5,0.5,0,0,7,1,0,1.5,1,1,3,6,1,1,0,36.45733
1.5,80,1.539912,1.5,71,1.539912,9,0.5,78,0.513304,-2,8,4,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,4,1,0,0,0,0,9,7.8,0,3,0,37.00523
