@relation arff/12test.arff

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute measure numeric
@attribute dynamics {n,2,3,4,5,6,7,8,9,s,0}
@attribute beats_since_dyn numeric
@attribute dyn_change {n,c,d}
@attribute articulation {l,.,<,-}
@attribute score_vib {0,1}
@attribute ornamt {n,g,t}
@attribute slur {0,1}
@attribute slur_start {0,1}
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric
@attribute perf_onset_s numeric
@attribute perf_dur_s numeric
@attribute local_tempo numeric
@attribute timing_dev numeric
@attribute piece_idx numeric

@data
2.500000,78,3.375260,1,n,0.000000,n,l,0,n,0,0,NaN,NaN,NaN,NaN,0.500000,74,0.675052,-4,6,4,1,0,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,4,1,0.0,0.0,0.0,0.0,0.0,10.0,0.000000,3,4,2.806104e+01,5.839583,3.135417,47.840532,0.000000,12
0.500000,74,0.675052,1,n,2.000000,n,l,0,n,0,0,2.500000,78,3.375260,-4,0.333333,69,0.450035,-5,2,0,1,0,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,0,1,0.0,0.0,0.0,0.0,4.0,7.2,2.500000,0,4,2.425477e+01,8.975000,0.544792,55.066922,0.141927,12
0.333333,69,0.450035,1,n,3.000000,n,l,0,n,0,0,0.500000,74,0.675052,-5,0.333333,74,0.450035,5,9,7,1,1,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,7,1,0.0,0.0,1.0,0.0,5.0,8.0,3.000000,1,4,5.664090e+01,9.519792,0.412500,48.484848,0.088021,12
0.333333,74,0.450035,1,n,3.000000,n,l,0,n,0,0,0.333333,69,0.450035,5,0.333333,78,0.450035,4,2,0,1,0,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,0,1,0.0,1.5,1.0,1.0,5.0,8.0,3.333333,0,4,6.174466e+01,9.932292,0.319792,62.540717,0.101389,12
0.333333,78,0.450035,1,n,3.000000,n,l,0,n,0,0,0.333333,74,0.450035,4,2.000000,83,2.700208,5,6,4,1,0,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,4,1,0.0,0.0,1.0,0.0,4.0,7.2,3.666667,0,4,5.013647e+01,10.252083,0.377083,53.038674,0.022049,12
2.000000,83,2.700208,2,n,4.000000,n,l,0,n,0,0,0.333333,78,0.450035,5,1.000000,85,1.350104,2,11,9,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,4,1,0.0,0.0,1.0,0.0,5.0,8.0,0.000000,3,4,4.827289e+01,10.629167,2.344792,51.177255,0.136979,12
1.000000,85,1.350104,2,n,6.000000,n,l,0,n,0,0,2.000000,83,2.700208,2,1.000000,86,1.350104,1,1,11,0,1,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,6,0,0.0,0.0,1.0,0.0,2.0,4.2,2.000000,2,4,4.456723e+01,12.973958,1.004167,59.751037,0.086979,12
1.000000,86,1.350104,2,n,7.000000,n,l,0,n,0,0,1.000000,85,1.350104,1,1.500000,74,2.025156,-12,2,0,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,7,1,0.0,0.0,1.0,0.0,1.0,1.0,3.000000,1,4,4.948230e+01,13.978125,1.166667,51.428571,-0.037760,12
1.500000,74,2.025156,3,n,8.000000,n,l,0,n,0,0,1.000000,86,1.350104,-12,0.500000,76,0.675052,2,2,0,1,0,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,0,1,0.0,0.0,0.0,1.0,12.0,10.0,0.000000,3,4,4.803428e+01,15.144792,1.921875,46.829268,-0.204948,12
0.500000,76,0.675052,3,n,9.000000,n,l,0,n,0,0,1.500000,74,2.025156,2,0.200000,78,0.270021,2,4,2,0,1,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,2,0,0.0,0.0,0.0,2.0,2.0,4.2,1.500000,0,4,3.759194e+01,17.066667,0.620833,48.322148,0.125781,12
0.200000,78,0.270021,3,n,10.000000,n,l,0,n,0,0,0.500000,76,0.675052,2,0.200000,79,0.270021,1,6,4,1,0,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,4,1,0.0,0.0,1.0,0.0,2.0,4.2,2.000000,2,4,3.746053e+01,17.687500,0.367708,32.634561,0.147917,12
0.200000,79,0.270021,3,n,10.000000,n,l,0,n,0,0,0.200000,78,0.270021,1,0.200000,78,0.270021,-1,7,5,0,0,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,5,0,0.0,0.0,1.0,0.0,1.0,1.0,2.200000,0,4,4.400797e+01,18.055208,0.176042,68.165680,0.276146,12
0.200000,78,0.270021,3,n,10.000000,n,l,0,n,0,0,0.200000,79,0.270021,-1,0.200000,76,0.270021,-2,6,4,1,0,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,4,1,0.0,1.5,1.0,1.0,1.0,1.0,2.400000,0,4,5.398486e+01,18.231250,0.178125,67.368421,0.212708,12
0.200000,76,0.270021,3,n,10.000000,n,l,0,n,0,0,0.200000,78,0.270021,-2,0.200000,78,0.270021,2,4,2,0,1,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,2,0,0.0,0.0,1.0,0.0,2.0,4.2,2.600000,0,4,4.861676e+01,18.409375,0.143750,83.478261,0.151354,12
0.200000,78,0.270021,3,n,10.000000,n,l,0,n,0,0,0.200000,76,0.270021,2,0.500000,81,0.675052,3,6,4,1,0,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,4,1,0.0,1.5,1.0,1.0,2.0,4.2,2.800000,0,4,3.500903e+01,18.553125,0.203125,59.076923,0.055625,12
0.500000,81,0.675052,3,n,10.000000,n,l,0,n,0,0,0.200000,78,0.270021,3,0.500000,69,0.675052,-12,9,7,1,1,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,7,1,0.0,0.0,1.0,0.0,3.0,6.0,3.000000,0,4,3.473011e+01,18.756250,0.570833,52.554745,0.019271,12
0.500000,69,0.675052,3,n,11.000000,n,l,0,n,0,0,0.500000,81,0.675052,-12,3.000000,71,4.050312,2,9,7,1,1,0.666667,0.333333,0.555556,0.222222,0.444444,0.444444,0.333333,0,7,1,0.0,0.0,0.0,1.0,12.0,10.0,3.500000,0,4,5.232739e+01,19.327083,0.607292,49.399657,-0.008594,12
3.000000,71,4.050312,4,n,11.000000,n,l,0,n,0,0,0.500000,69,0.675052,2,0.500000,73,0.675052,2,11,9,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,4,1,0.0,0.0,0.0,2.0,2.0,4.2,4.000000,0,4,3.815657e+01,19.934375,3.865625,46.564268,-0.209722,12
0.500000,73,0.675052,4,n,14.000000,n,l,0,n,0,0,3.000000,71,4.050312,2,0.500000,74,0.675052,1,1,11,0,1,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,6,0,0.0,0.0,1.0,0.0,2.0,4.2,3.000000,0,0,4.895524e+01,23.800000,0.557292,53.831776,0.069531,12
0.500000,74,0.675052,4,n,15.000000,n,l,0,n,0,0,0.500000,73,0.675052,1,0.500000,78,0.675052,4,2,0,1,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,3,7,1,0.0,0.0,1.0,0.0,1.0,1.0,3.500000,0,0,5.748231e+01,24.357292,0.638542,46.982055,-0.005859,12
0.500000,78,0.675052,5,n,15.000000,n,l,0,n,0,0,0.500000,74,0.675052,4,0.500000,76,0.675052,-2,6,4,1,0,0.200000,0.600000,0.200000,0.200000,0.400000,0.200000,0.600000,1,2,0,0.0,0.0,1.0,0.0,4.0,7.2,4.000000,0,0,6.468375e+01,24.995833,0.859375,34.909091,0.072135,12
0.500000,76,0.675052,5,n,16.000000,n,l,0,n,0,0,0.500000,78,0.675052,-2,2.000000,79,2.700208,3,4,2,0,1,0.200000,0.600000,0.200000,0.200000,0.400000,0.200000,0.600000,1,0,1,0.0,1.5,1.0,1.0,2.0,4.2,0.500000,0,0,3.631062e+01,25.855208,0.580208,51.705566,0.239583,12
2.000000,79,2.700208,5,n,16.000000,n,l,0,n,0,0,0.500000,76,0.675052,3,0.500000,75,0.675052,-4,7,5,0,0,0.200000,0.600000,0.200000,0.200000,0.400000,0.200000,0.600000,1,3,1,0.0,1.5,1.0,1.0,3.0,6.0,1.000000,0,0,4.239091e+01,26.435417,2.368750,50.659631,0.200000,12
0.500000,75,0.675052,5,n,18.000000,n,l,0,n,0,0,2.000000,79,2.700208,-4,0.500000,76,0.675052,1,3,1,0,0,0.200000,0.600000,0.200000,0.200000,0.400000,0.200000,0.600000,1,11,0,0.0,1.5,1.0,1.0,4.0,7.2,3.000000,0,0,8.483271e+01,28.804167,0.615625,48.730964,0.089583,12
0.500000,76,0.675052,5,n,19.000000,n,l,0,n,0,0,0.500000,75,0.675052,1,0.500000,78,0.675052,2,4,2,0,1,0.200000,0.600000,0.200000,0.200000,0.400000,0.200000,0.600000,1,0,1,0.0,0.0,0.0,2.0,1.0,1.0,3.500000,0,0,8.196630e+01,29.419792,0.534375,56.140351,0.085417,12
0.500000,78,0.675052,6,n,19.000000,n,l,0,n,0,0,0.500000,76,0.675052,2,0.500000,79,0.675052,1,6,4,1,0,0.333333,0.666667,0.333333,0.666667,0.166667,0.666667,0.166667,1,2,0,0.0,0.0,1.0,0.0,2.0,4.2,4.000000,0,0,6.947265e+01,29.954167,0.521875,57.485030,0.222222,12
0.500000,79,0.675052,6,n,20.000000,n,l,0,n,0,0,0.500000,78,0.675052,1,0.500000,81,0.675052,2,7,5,0,0,0.333333,0.666667,0.333333,0.666667,0.166667,0.666667,0.166667,1,3,1,0.0,0.0,1.0,0.0,1.0,1.0,0.500000,0,0,6.313957e+01,30.476042,0.563542,53.234750,-0.066536,12
0.500000,81,0.675052,6,n,20.000000,n,l,0,n,0,0,0.500000,79,0.675052,2,0.500000,83,0.675052,2,9,7,1,1,0.333333,0.666667,0.333333,0.666667,0.166667,0.666667,0.166667,1,5,0,0.0,0.0,1.0,0.0,2.0,4.2,1.000000,0,0,7.630142e+01,31.039583,0.551042,54.442344,-0.091406,12
0.500000,83,0.675052,6,n,21.000000,n,l,0,n,0,0,0.500000,81,0.675052,2,1.000000,83,1.350104,0,11,9,1,0,0.333333,0.666667,0.333333,0.666667,0.166667,0.666667,0.166667,1,7,1,0.0,0.0,1.0,0.0,2.0,4.2,1.500000,0,0,8.865421e+01,31.590625,0.667708,44.929797,-0.128776,12
1.000000,83,1.350104,6,n,21.000000,n,l,0,n,0,0,0.500000,83,0.675052,0,1.000000,71,1.350104,-12,11,9,1,0,0.333333,0.666667,0.333333,0.666667,0.166667,0.666667,0.166667,1,7,1,0.0,1.5,1.0,1.0,0.0,10.0,2.000000,0,0,6.252573e+01,32.258333,1.132292,52.989880,-0.049479,12
1.000000,71,1.350104,6,n,22.000000,n,l,0,n,0,0,1.000000,83,1.350104,-12,2.000000,73,2.700208,2,11,9,1,0,0.333333,0.666667,0.333333,0.666667,0.166667,0.666667,0.166667,1,7,1,0.0,0.0,0.0,1.0,12.0,10.0,3.000000,0,0,5.266853e+01,33.390625,1.270833,47.213115,-0.094010,12
2.000000,73,2.700208,7,n,23.000000,n,l,0,n,0,0,1.000000,71,1.350104,2,1.000000,74,1.350104,1,1,11,0,1,0.500000,0.166667,0.333333,0.500000,0.500000,0.500000,0.500000,0,11,0,0.0,0.0,0.0,2.0,2.0,4.2,4.000000,0,0,6.180413e+01,34.661458,2.281250,52.602740,-0.047917,12
1.000000,74,1.350104,7,n,25.000000,n,l,0,n,0,0,2.000000,73,2.700208,1,0.250000,76,0.337526,2,2,0,1,0,0.500000,0.166667,0.333333,0.500000,0.500000,0.500000,0.500000,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,2.000000,0,0,7.244003e+01,36.942708,1.091667,54.961832,0.040625,12
0.250000,76,0.337526,7,n,26.000000,n,l,0,n,0,0,1.000000,74,1.350104,2,0.250000,74,0.337526,-2,4,2,0,1,0.500000,0.166667,0.333333,0.500000,0.500000,0.500000,0.500000,0,2,0,0.0,0.0,1.0,0.0,2.0,4.2,3.000000,0,0,7.029587e+01,38.034375,0.365625,41.025641,0.011979,12
0.250000,74,0.337526,7,n,27.000000,n,l,0,n,0,0,0.250000,76,0.337526,-2,0.250000,73,0.337526,-1,2,0,1,0,0.500000,0.166667,0.333333,0.500000,0.500000,0.500000,0.500000,0,0,1,0.0,1.5,1.0,1.0,2.0,4.2,3.250000,0,0,7.894021e+01,38.400000,0.250000,60.000000,0.097526,12
0.250000,73,0.337526,7,n,27.000000,n,l,0,n,0,0,0.250000,74,0.337526,-1,0.250000,74,0.337526,1,1,11,0,1,0.500000,0.166667,0.333333,0.500000,0.500000,0.500000,0.500000,0,11,0,0.0,0.0,1.0,0.0,1.0,1.0,3.500000,0,0,6.963590e+01,38.650000,0.237500,63.157895,0.067448,12
0.250000,74,0.337526,7,n,27.000000,n,l,0,n,0,0,0.250000,73,0.337526,1,2.000000,76,2.700208,2,2,0,1,0,0.500000,0.166667,0.333333,0.500000,0.500000,0.500000,0.500000,0,0,1,0.0,1.5,1.0,1.0,1.0,1.0,3.750000,0,0,6.563819e+01,38.887500,0.255208,58.775510,0.024870,12
2.000000,76,2.700208,8,n,27.000000,n,l,0,n,0,0,0.250000,74,0.337526,2,2.000000,77,2.700208,1,4,2,0,1,0.000000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,1,0,1,0.0,0.0,1.0,0.0,2.0,4.2,4.000000,0,0,5.568314e+01,39.142708,2.240625,53.556485,-0.567708,12
2.000000,77,2.700208,8,n,29.000000,n,l,0,n,0,0,2.000000,76,2.700208,1,2.500000,78,3.375260,1,5,3,0,0,0.000000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,1,1,0,0.0,0.0,1.0,0.0,1.0,1.0,2.000000,0,0,5.620686e+01,41.383333,3.361458,35.698791,-0.560417,12
2.500000,78,3.375260,9,n,31.000000,n,l,0,n,0,0,2.000000,77,2.700208,1,0.500000,74,0.675052,-4,6,4,1,0,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,4,1,0.0,1.5,1.0,0.0,1.0,1.0,4.000000,0,0,3.559354e+01,44.744792,3.187500,47.058824,0.422396,12
0.500000,74,0.675052,9,n,34.000000,n,l,0,n,0,0,2.500000,78,3.375260,-4,0.333333,69,0.450035,-5,2,0,1,0,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,0,1,0.0,0.0,0.0,1.0,4.0,7.2,2.500000,0,0,2.312438e+01,47.932292,0.533333,56.250000,0.227214,12
0.333333,69,0.450035,9,n,35.000000,n,l,0,n,0,0,0.500000,74,0.675052,-5,0.333333,74,0.450035,5,9,7,1,1,1.000000,0.000000,0.600000,0.400000,0.200000,0.800000,0.000000,0,7,1,0.0,0.0,1.0,0.0,5.0,8.0,3.000000,1,0,3.286877e+01,48.465625,0.365625,54.700855,0.168490,12
