@relation 'arff/1train.arff-weka.filters.unsupervised.attribute.Remove-R4-12,45-49'

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric

@data
2,74,1.918277,1,73,0.959138,1,1.5,56,1.438707,-18,2,7,1,1,0.333333,0,0.333333,0,0.333333,0,0,0,7,1,0,0,1,0,1,1,0,3,0,66.96409
1.5,56,1.438707,2,74,1.918277,-18,0.5,56,0.479569,0,8,1,0,0,0.333333,0,0.333333,0,0.333333,0,0,0,1,0,0,0,0,1,18,5.8,2,2,0,46.24378
0.5,56,0.479569,1.5,56,1.438707,0,2.5,57,2.397846,1,8,1,0,0,0.333333,0,0.333333,0,0.333333,0,0,0,1,0,0,0,0,2,0,10,3.5,0,0,50.27407
2.5,57,2.397846,0.5,56,0.479569,1,0.5,59,0.479569,2,9,2,0,1,0.5,0.5,0.5,0,0.75,0.25,0.5,4,7,1,0,1.5,1,1,1,1,0,3,0,60.21355
0.5,59,0.479569,2.5,57,2.397846,2,0.5,62,0.479569,3,11,4,1,0,0.5,0.5,0.5,0,0.75,0.25,0.5,4,9,0,0,0,1,0,2,4.2,2.5,0,0,34.55269
0.5,62,0.479569,0.5,59,0.479569,3,0.5,69,0.479569,7,2,7,1,1,0.5,0.5,0.5,0,0.75,0.25,0.5,4,0,1,0,0,1,0,3,6,3,1,0,47.85246
0.5,69,0.479569,0.5,62,0.479569,7,3,66,2.877415,-3,9,2,0,1,0.5,0.5,0.5,0,0.75,0.25,0.5,4,7,1,0,0,0,0,7,9.2,3.5,0,0,65.49965
3,66,2.877415,0.5,69,0.479569,-3,1,64,0.959138,-2,6,11,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,1,9,0,1,0,1,2,3,6,0,3,0,41.08663
1,64,0.959138,3,66,2.877415,-2,4,62,3.836553,-2,4,9,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,7,1,0,0,1,0,2,4.2,3,1,0,22.78992
4,62,3.836553,1,64,0.959138,-2,3,62,2.877415,?,2,7,1,1,1,0,1,0,1,0,0,0,7,1,0,0,1,0,2,4.2,0,3,0,56.17301
0.75,71,0.538613,?,?,?,?,0.25,71,0.179538,0,11,4,1,0,1,0,1,0,0,1,0,0,4,1,0,0,0,0,0,10,3,1,9,39.54991
0.25,71,0.179538,0.75,71,0.538613,0,2,76,1.436301,5,11,4,1,0,1,0,1,0,0,1,0,0,4,1,0,0,0,0,0,10,3.75,0,9,70.53451
2,76,1.436301,0.25,71,0.179538,5,1,75,0.71815,-1,4,9,1,0,0.5,0.25,0.5,0.25,0,0.75,0,5,0,1,0,0,0,1,5,8,0,3,9,42.01525
1,75,0.71815,2,76,1.436301,-1,0.75,71,0.538613,-4,3,8,0,0,0.5,0.25,0.5,0.25,0,0.75,0,5,11,0,0,0,0,2,1,1,2,2,9,28.25677
0.75,71,0.538613,1,75,0.71815,-4,0.25,71,0.179538,0,11,4,1,0,0.5,0.25,0.5,0.25,0,0.75,0,5,7,1,0,0,1,0,4,7.2,3,1,9,45.26612
0.25,71,0.179538,0.75,71,0.538613,0,2,74,1.436301,3,11,4,1,0,0.5,0.25,0.5,0.25,0,0.75,0,5,7,1,0,0,0,2,0,10,3.75,0,9,72.70541
2,74,1.436301,0.25,71,0.179538,3,1,73,0.71815,-1,2,7,1,1,0.75,0,0.25,0.5,0.25,0.5,0,0,7,1,0,0,0,1,3,6,0,3,9,49.48836
1,73,0.71815,2,74,1.436301,-1,0.75,67,0.538613,-6,1,6,0,0,0.75,0,0.25,0.5,0.25,0.5,0,0,6,0,0,1.5,1,1,1,1,2,2,9,22.62351
0.75,67,0.538613,1,73,0.71815,-6,0.25,67,0.179538,0,7,0,1,0,0.75,0,0.25,0.5,0.25,0.5,0,0,0,1,0,0,0,0,6,5.8,3,1,9,41.05941
0.25,67,0.179538,0.75,67,0.538613,0,2,71,1.436301,4,7,0,1,0,0.75,0,0.25,0.5,0.25,0.5,0,0,0,1,0,0,0,2,0,10,3.75,0,9,54.30374
2,71,1.436301,0.25,67,0.179538,4,0.5,70,0.359075,-1,11,4,1,0,0.4,0.2,0.4,0.2,0,0.6,0,5,7,1,0,0,0,1,4,7.2,0,3,9,60.39929
0.5,70,0.359075,2,71,1.436301,-1,0.5,71,0.359075,1,10,3,0,0,0.4,0.2,0.4,0.2,0,0.6,0,5,6,0,0,0,0,2,1,1,2,2,9,37.63467
0.5,71,0.359075,0.5,70,0.359075,1,0.5,73,0.359075,2,11,4,1,0,0.4,0.2,0.4,0.2,0,0.6,0,5,7,1,0,1.5,1,1,1,1,2.5,0,9,68.61762
0.5,73,0.359075,0.5,71,0.359075,2,0.5,76,0.359075,3,1,6,0,0,0.4,0.2,0.4,0.2,0,0.6,0,5,9,0,0,0,1,0,2,4.2,3,1,0,60.88613
0.5,76,0.359075,0.5,73,0.359075,3,1.5,78,1.077225,2,4,9,1,0,0.4,0.2,0.4,0.2,0,0.6,0,5,0,1,0,0,1,0,3,6,3.5,0,0,72.09092
1.5,78,1.077225,0.5,76,0.359075,2,0.5,73,0.359075,-5,6,11,0,1,0,0,0.2,0,0.2,0,0.2,2,7,1,0,0,1,0,2,4.2,0,3,0,59.60518
0.5,73,0.359075,1.5,78,1.077225,-5,1,75,0.71815,2,1,6,0,0,0,0,0.2,0,0.2,0,0.2,2,2,0,0,0,0,1,5,8,1.5,0,0,41.1019
1,75,0.71815,0.5,73,0.359075,2,0.75,75,0.538613,0,3,8,0,0,0,0,0.2,0,0.2,0,0.2,2,4,0,0,0,0,2,2,4.2,2,2,0,34.50641
0.75,75,0.538613,1,75,0.71815,0,0.25,75,0.179538,0,3,8,0,0,0,0,0.2,0,0.2,0,0.2,2,4,0,0,1.5,1,1,0,10,3,1,0,64.1161
0.25,75,0.179538,0.75,75,0.538613,0,2,80,1.436301,5,3,8,0,0,0,0,0.2,0,0.2,0,0.2,2,4,0,0,1.5,1,0,0,10,3.75,0,0,106.654
